_input_row,candidate_formula,prototype_id,substitution,wyckoff_letter,central_site_index,central_species,central_frac_coords,neighbor_counts_pattern,neighbor_nspecies_pattern,n_detected_shells,shell1_count,shell1_nspecies,shell1_species,shell1_distances_A,shell2_count,shell2_nspecies,shell2_species,shell2_distances_A,shell3_count,shell3_nspecies,shell3_species,shell3_distances_A,shell4_count,shell4_nspecies,shell4_species,shell4_distances_A
0,,,,,0,Al,"0.000000,0.245434,0.259066",1|2|14|24,1|1|4|4,4,1,1,Si,0.1504,2,1,Co,1.5118;1.5118,14,4,"Co,Fe,Ni,Si",1.6411;1.6411;1.7335;1.7335;1.7451;1.7451;1.8156;1.8156;1.8665;1.8665;1.8675;1.8675;1.9236;1.9236,24,4,"Co,Fe,Ni,Si",2.3839;2.3839;2.3839;2.4508;2.4508;2.4508;2.4526;2.4526;2.4526;2.5003;2.5003;2.5003;2.5062;2.5062;2.5062;2.5095;2.5095;2.5095;2.5506;2.5506;2.5506;2.6376;2.6376;2.6376
0,,,,,1,Al,"1.000000,0.746860,0.748368",1|16|24|8,1|3|4|3,4,1,1,Co,0.0475,16,3,"Co,Fe,Ni",1.7420;1.7420;1.7492;1.7492;1.7622;1.7622;1.7624;1.7624;1.7780;1.7780;1.7897;1.7897;1.7999;1.7999;1.8223;1.8223,24,4,"Co,Fe,Ni,Si",2.4159;2.4159;2.4159;2.4215;2.4215;2.4215;2.4327;2.4327;2.4327;2.4834;2.4834;2.4834;2.5014;2.5014;2.5014;2.5278;2.5278;2.5278;2.5474;2.5474;2.5474;2.5771;2.5771;2.5771,8,3,"Co,Fe,Ni",3.4981;3.4981;3.5018;3.5018;3.5129;3.5129;3.5201;3.5201
0,,,,,2,Si,"2.000000,0.513840,0.999084",1|16|24|8,1|3|5|2,4,1,1,Fe,0.1166,16,3,"Co,Fe,Ni",1.6449;1.6449;1.6718;1.6718;1.7436;1.7436;1.7449;1.7449;1.7745;1.7745;1.7983;1.7983;1.8223;1.8223;1.9053;1.9053,24,5,"Al,Co,Fe,Ni,Si",2.4118;2.4118;2.4118;2.4159;2.4159;2.4159;2.4439;2.4439;2.4439;2.4474;2.4474;2.4474;2.5082;2.5082;2.5082;2.5578;2.5578;2.5578;2.5818;2.5818;2.5818;2.6376;2.6376;2.6376,8,2,"Fe,Ni",3.4322;3.4322;3.4607;3.4607;3.5167;3.5167;3.5211;3.5211
0,,,,,3,Si,"3.000000,0.972854,0.250913",1|4|10|2,1|1|4|1,4,1,1,Ni,0.1901,4,1,Ni,1.5637;1.5637;1.5872;1.5872,10,4,"Al,Co,Fe,Ni",1.7143;1.7143;1.7255;1.7255;1.7636;1.7636;1.8292;1.8292;1.9236;1.9236,2,1,Si,2.0686;2.0686
0,,,,,4,Si,"4.000000,0.266093,0.253829",1|14|2|24,1|3|1|4,4,1,1,Al,0.1504,14,3,"Co,Fe,Ni",1.5576;1.5576;1.6107;1.6107;1.6684;1.6684;1.7204;1.7204;1.7841;1.7841;1.8295;1.8295;1.8786;1.8786,2,1,Si,2.0686;2.0686,24,4,"Co,Fe,Ni,Si",2.3755;2.3755;2.3755;2.4236;2.4236;2.4236;2.4263;2.4263;2.4263;2.5082;2.5082;2.5082;2.5160;2.5160;2.5160;2.5285;2.5285;2.5285;2.5775;2.5775;2.5775;2.6401;2.6401;2.6401
0,,,,,5,Fe,"5.000000,0.509058,0.497947",1|16|24|8,1|3|5|3,4,1,1,Ni,0.0757,16,3,"Co,Fe,Ni",1.6789;1.6789;1.7092;1.7092;1.7451;1.7451;1.7638;1.7638;1.7718;1.7718;1.7753;1.7753;1.8107;1.8107;1.8860;1.8860,24,5,"Al,Co,Fe,Ni,Si",2.4263;2.4263;2.4263;2.4327;2.4327;2.4327;2.4349;2.4349;2.4349;2.4355;2.4355;2.4355;2.4668;2.4668;2.4668;2.5062;2.5062;2.5062;2.5369;2.5369;2.5369;2.5449;2.5449;2.5449,8,3,"Co,Fe,Si",3.4164;3.4164;3.4731;3.4731;3.5108;3.5108;3.5167;3.5167
0,,,,,6,Fe,"6.000000,0.004360,0.008229",1|16|24|8,1|4|5|3,4,1,1,Ni,0.0503,16,4,"Co,Fe,Ni,Si",1.7032;1.7032;1.7155;1.7155;1.7255;1.7255;1.7747;1.7747;1.7891;1.7891;1.8171;1.8171;1.8180;1.8180;1.8198;1.8198,24,5,"Al,Co,Fe,Ni,Si",2.4508;2.4508;2.4508;2.4814;2.4814;2.4814;2.4832;2.4832;2.4832;2.5221;2.5221;2.5221;2.5285;2.5285;2.5285;2.5313;2.5313;2.5313;2.5428;2.5428;2.5428;2.5771;2.5771;2.5771,8,3,"Co,Fe,Si",3.4136;3.4136;3.4607;3.4607;3.4782;3.4782;3.5151;3.5151
0,,,,,7,Fe,"7.000000,0.497338,3.000000",1|16|24|8,1|3|5|2,4,1,1,Si,0.1166,16,3,"Co,Fe,Ni",1.7060;1.7060;1.7355;1.7355;1.7402;1.7402;1.7614;1.7614;1.7773;1.7773;1.7882;1.7882;1.7888;1.7888;1.7987;1.7987,24,5,"Al,Co,Fe,Ni,Si",2.4236;2.4236;2.4236;2.4793;2.4793;2.4793;2.4882;2.4882;2.4882;2.5014;2.5014;2.5014;2.5036;2.5036;2.5036;2.5204;2.5204;2.5204;2.5339;2.5339;2.5339;2.5506;2.5506;2.5506,8,2,"Fe,Ni",3.4782;3.4782;3.5057;3.5057;3.5108;3.5108;3.5127;3.5127
0,,,,,8,Fe,"8.000000,0.001359,0.492487",1|16|24|8,1|4|5|2,4,1,1,Co,0.1340,16,4,"Co,Fe,Ni,Si",1.6983;1.6983;1.7084;1.7084;1.7143;1.7143;1.7641;1.7641;1.7744;1.7744;1.7952;1.7952;1.8158;1.8158;1.8176;1.8176,24,5,"Al,Co,Fe,Ni,Si",2.3839;2.3839;2.3839;2.4440;2.4440;2.4440;2.4762;2.4762;2.4762;2.4953;2.4953;2.4953;2.5152;2.5152;2.5152;2.5160;2.5160;2.5160;2.5196;2.5196;2.5196;2.5474;2.5474;2.5474,8,2,"Fe,Ni",3.4136;3.4136;3.4553;3.4553;3.4731;3.4731;3.5059;3.5059
0,,,,,9,Fe,"9.000000,0.000564,0.750086",1|16|24|8,1|4|3|4,4,1,1,Fe,0.0327,16,4,"Al,Co,Fe,Ni",1.6954;1.6954;1.7422;1.7422;1.7520;1.7520;1.7628;1.7628;1.7778;1.7778;1.7897;1.7897;1.8158;1.8158;1.8198;1.8198,24,3,"Co,Fe,Ni",2.4735;2.4735;2.4735;2.4881;2.4881;2.4881;2.4951;2.4951;2.4951;2.4959;2.4959;2.4959;2.4967;2.4967;2.4967;2.5026;2.5026;2.5026;2.5948;2.5948;2.5948;2.5987;2.5987;2.5987,8,4,"Co,Fe,Ni,Si",3.4650;3.4650;3.5024;3.5024;3.5141;3.5141;3.5237;3.5237
0,,,,,10,Fe,"10.000000,0.005190,0.750325",1|16|24|8,1|4|3|4,4,1,1,Fe,0.0327,16,4,"Al,Co,Fe,Ni",1.6984;1.6984;1.7194;1.7194;1.7302;1.7302;1.7749;1.7749;1.7765;1.7765;1.8176;1.8176;1.8180;1.8180;1.8223;1.8223,24,3,"Co,Fe,Ni",2.4513;2.4513;2.4513;2.4635;2.4635;2.4635;2.5182;2.5182;2.5182;2.5187;2.5187;2.5187;2.5194;2.5194;2.5194;2.5271;2.5271;2.5271;2.5746;2.5746;2.5746;2.5759;2.5759;2.5759,8,4,"Co,Fe,Ni,Si",3.4324;3.4324;3.4698;3.4698;3.5159;3.5159;3.5272;3.5272
0,,,,,11,Fe,"11.000000,0.497053,0.747863",1|16|18|6,1|5|2|2,4,1,1,Co,0.0431,16,5,"Al,Co,Fe,Ni,Si",1.7396;1.7396;1.7507;1.7507;1.7589;1.7589;1.7622;1.7622;1.7638;1.7638;1.7745;1.7745;1.7773;1.7773;1.8096;1.8096,18,2,"Co,Ni",2.4201;2.4201;2.4201;2.4364;2.4364;2.4364;2.4788;2.4788;2.4788;2.4837;2.4837;2.4837;2.5146;2.5146;2.5146;2.5230;2.5230;2.5230,6,2,"Co,Fe",2.6350;2.6350;2.6350;2.6498;2.6498;2.6498
0,,,,,12,Fe,"12.000000,0.245169,0.026245",1|10|6|24,1|4|3|4,4,1,1,Ni,0.2357,10,4,"Al,Fe,Ni,Si",1.6107;1.6107;1.6411;1.6411;1.7032;1.7032;1.7347;1.7347;1.7888;1.7888,6,3,"Co,Fe,Si",1.9053;1.9053;1.9536;1.9536;1.9765;1.9765,24,4,"Co,Fe,Ni,Si",2.3515;2.3515;2.3515;2.3845;2.3845;2.3845;2.4263;2.4263;2.4263;2.4920;2.4920;2.4920;2.5759;2.5759;2.5759;2.5987;2.5987;2.5987;2.6405;2.6405;2.6405;2.6498;2.6498;2.6498
0,,,,,13,Fe,"13.000000,0.250454,0.749161",1|12|4|24,1|3|2|4,4,1,1,Co,0.0256,12,3,"Co,Fe,Ni",1.7023;1.7023;1.7102;1.7102;1.7295;1.7295;1.7302;1.7302;1.7396;1.7396;1.7628;1.7628,4,2,"Co,Fe",1.9436;1.9436;1.9536;1.9536,24,4,"Co,Fe,Ni,Si",2.4759;2.4759;2.4759;2.4793;2.4793;2.4793;2.4891;2.4891;2.4891;2.5116;2.5116;2.5116;2.5196;2.5196;2.5196;2.5221;2.5221;2.5221;2.5449;2.5449;2.5449;2.5578;2.5578;2.5578
0,,,,,14,Ni,"14.000000,0.000384,0.002301",1|16|24|8,1|4|5|3,4,1,1,Fe,0.0503,16,4,"Co,Fe,Ni,Si",1.7347;1.7347;1.7569;1.7569;1.7604;1.7604;1.7636;1.7636;1.7765;1.7765;1.7778;1.7778;1.7878;1.7878;1.8009;1.8009,24,5,"Al,Co,Fe,Ni,Si",2.4907;2.4907;2.4907;2.4919;2.4919;2.4919;2.4933;2.4933;2.4933;2.5003;2.5003;2.5003;2.5116;2.5116;2.5116;2.5204;2.5204;2.5204;2.5278;2.5278;2.5278;2.5775;2.5775;2.5775,8,3,"Co,Fe,Si",3.4322;3.4322;3.4553;3.4553;3.4728;3.4728;3.5057;3.5057
0,,,,,15,Ni,"15.000000,0.498331,0.498342",1|16|24|8,1|3|5|3,4,1,1,Fe,0.0757,16,3,"Co,Fe,Ni",1.7350;1.7350;1.7385;1.7385;1.7545;1.7545;1.7589;1.7589;1.7766;1.7766;1.7779;1.7779;1.7849;1.7849;1.8109;1.8109,24,5,"Al,Co,Fe,Ni,Si",2.3755;2.3755;2.3755;2.4526;2.4526;2.4526;2.4806;2.4806;2.4806;2.4834;2.4834;2.4834;2.4891;2.4891;2.4891;2.4900;2.4900;2.4900;2.4912;2.4912;2.4912;2.5182;2.5182;2.5182,8,3,"Co,Fe,Si",3.4919;3.4919;3.5059;3.5059;3.5127;3.5127;3.5211;3.5211
