composition,structure,total_magnetization
Al2Fe9Co9(SiNi3)3,"Full Formula (Al2 Fe9 Co9 Si3 Ni9)
Reduced Formula: Al2Fe9Co9(SiNi3)3
abc   :   7.265653   7.054177   7.048887
angles:  90.114215  89.840925  90.471198
pbc   :       True       True       True
Sites (32)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Al    0.245434  0.259066  0.983054
  1  Al    0.74686   0.748368  0.498318
  2  Si    0.51384   0.999084  0.002676
  3  Si    0.972854  0.250913  0.241476
  4  Si    0.266093  0.253829  0.525317
  5  Fe    0.509058  0.497947  0.002351
  6  Fe    0.00436   0.008229  0.499781
  7  Fe    0.497338  3e-05     0.499459
  8  Fe    0.001359  0.492487  0.49762
  9  Fe    0.000564  0.750086  0.248298
 10  Fe    0.00519   0.750325  0.749826
 11  Fe    0.497053  0.747863  0.754048
 12  Fe    0.245169  0.026245  0.257215
 13  Fe    0.250454  0.749161  0.016277
 14  Ni    0.000384  0.002301  0.001472
 15  Ni    0.498331  0.498342  0.498783
 16  Ni    0.999791  0.251551  0.744486
 17  Ni    0.747006  0.996527  0.247812
 18  Ni    0.255545  0.994483  0.75707
 19  Ni    0.25253   0.506548  0.748147
 20  Ni    0.75136   0.498388  0.746861
 21  Ni    0.751184  0.252126  0.995648
 22  Ni    0.74786   0.248994  0.496105
 23  Co    0.993242  0.509658  0.998893
 24  Co    0.502461  0.246164  0.244369
 25  Co    0.49172   0.74488   0.247023
 26  Co    0.509852  0.246587  0.751513
 27  Co    0.242766  0.473522  0.259514
 28  Co    0.747038  0.501233  0.248245
 29  Co    0.750837  0.000587  0.74991
 30  Co    0.753589  0.748594  0.996243
 31  Co    0.248879  0.745882  0.49219",36.998
Al7Fe6Co7(CuNi)6,"Full Formula (Al7 Fe6 Co7 Cu6 Ni6)
Reduced Formula: Al7Fe6Co7(CuNi)6
abc   :   7.245944   7.145252   7.313787
angles:  90.065828  90.359407  90.241332
pbc   :       True       True       True
Sites (32)
  #  SP            a          b         c
---  ----  ---------  ---------  --------
  0  Al     0.993566   0.988913  0.995979
  1  Al     0.004082   0.51834   0.48919
  2  Al     0.494865   0.506481  0.496245
  3  Al     0.992709   0.256163  0.750406
  4  Al     0.255018   0.001559  0.260135
  5  Al     0.74539    0.987498  0.258901
  6  Al     0.256016   0.99305   0.738307
  7  Fe     0.497176   0.488935  0.002362
  8  Fe     0.5083    -0.002969  0.501172
  9  Fe     0.997876   0.251735  0.245758
 10  Fe     0.504082   0.250937  0.249606
 11  Fe     0.248918   0.739439  0.00641
 12  Fe     0.750515   0.255425  0.499034
 13  Ni     0.495627   0.748585  0.246249
 14  Ni    -0.000148   0.749938  0.74996
 15  Ni     0.249029   0.49782   0.245992
 16  Ni     0.753772   0.002203  0.746924
 17  Ni     0.244814   0.250764  0.502511
 18  Ni     0.749763   0.747367  0.507925
 19  Co     0.002291   0.502586  0.003063
 20  Co     0.988951   0.000814  0.500979
 21  Co     0.010351   0.758326  0.245275
 22  Co     0.75599    0.496685  0.754755
 23  Co     0.240224   0.246183  0.001989
 24  Co     0.752418   0.250542  0.009427
 25  Co     0.253608   0.75607   0.495003
 26  Cu     0.500121   0.001267  0.997185
 27  Cu     0.502473   0.250382  0.750168
 28  Cu     0.505324   0.745328  0.75361
 29  Cu     0.75211    0.510008  0.246796
 30  Cu     0.248193   0.502763  0.750806
 31  Cu     0.746575   0.746864  0.99788",24.329
MnFe10Co10SiNi10,"Full Formula (Mn1 Fe10 Co10 Si1 Ni10)
Reduced Formula: MnFe10Co10SiNi10
abc   :   7.113724   7.092859   7.102628
angles:  90.039503  90.003324  90.104405
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Si     0.504059   0.248369   0.753634
  1  Mn    -0.001717   0.500328   0.500781
  2  Fe     0.499955   0.500142   0.501509
  3  Fe     0.500606   0.246054   0.24843
  4  Fe    -0.001994   0.751864   0.246225
  5  Fe     0.502014   0.752522   0.245496
  6  Fe     0.246289   0.002321   0.24789
  7  Fe     0.24733    0.495961   0.245144
  8  Fe     0.249905  -0.005643   0.753563
  9  Fe     0.754146   0.249199   0.004596
 10  Fe     0.246989   0.249768   0.507456
 11  Fe     0.750856   0.756229   0.504174
 12  Ni    -0.000507  -0.000372  -0.001951
 13  Ni    -0.001758   0.5009    -0.002211
 14  Ni     0.500013   0.001266   0.500912
 15  Ni    -0.000629   0.750199   0.751976
 16  Ni     0.502024   0.749081   0.751222
 17  Ni     0.750357   0.50216    0.249436
 18  Ni     0.749139   0.004135   0.751139
 19  Ni     0.251509   0.500836   0.752762
 20  Ni     0.747615   0.495863   0.750173
 21  Ni     0.250507   0.750689   0.496823
 22  Co     0.50149   -0.002489  -0.00215
 23  Co     0.502138   0.502698  -0.002244
 24  Co    -0.001665   0.001458   0.503035
 25  Co     0.00105    0.247628   0.249712
 26  Co    -0.002019   0.251077   0.750269
 27  Co     0.753872  -0.000464   0.250918
 28  Co     0.246941   0.251875  -0.005583
 29  Co     0.250848   0.746435   0.004637
 30  Co     0.748586   0.751753  -0.00364
 31  Co     0.752055   0.248157   0.495867",42.226
Cr2Fe10Co9Si2Ni9,"Full Formula (Cr2 Fe10 Co9 Si2 Ni9)
Reduced Formula: Cr2Fe10Co9Si2Ni9
abc   :   7.090448   7.088424   7.125148
angles:  90.169811  89.847816  89.984296
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Si     0.007677   0.494702   0.00998
  1  Si     0.744114   0.247519   0.489458
  2  Cr     0.248203   0.000562   0.247455
  3  Cr     0.744979   0.503215   0.75203
  4  Fe     0.000339   0.003922   0.000875
  5  Fe     0.504281   0.004635   0.002489
  6  Fe    -0.000919   4.1e-05    0.501347
  7  Fe     0.000945   0.749009   0.251898
  8  Fe    -0.002302   0.255827   0.748709
  9  Fe    -9.7e-05    0.741006   0.751507
 10  Fe     0.747127   0.504064   0.246883
 11  Fe     0.745727  -0.000764   0.747316
 12  Fe     0.258122   0.747971  -0.001248
 13  Fe     0.25416    0.253999   0.500863
 14  Ni     0.498203   0.498915  -0.001445
 15  Ni     0.499677  -0.001645   0.499619
 16  Ni     0.501903   0.500977   0.501231
 17  Ni    -0.001442   0.25075    0.252218
 18  Ni     0.502242   0.25184    0.250441
 19  Ni     0.498016   0.751001   0.251606
 20  Ni     0.250789   0.499139   0.249796
 21  Ni     0.253243   0.00095    0.748787
 22  Ni     0.749418   0.749365   0.500398
 23  Co    -0.003847   0.501158   0.50025
 24  Co     0.503721   0.25082    0.75129
 25  Co     0.49743    0.749551   0.750128
 26  Co     0.751014  -0.002943   0.249219
 27  Co     0.251552   0.498472   0.750966
 28  Co     0.252454   0.24927   -0.004486
 29  Co     0.752422   0.252486  -0.001001
 30  Co     0.746194   0.746393  -6.9e-05
 31  Co     0.244656   0.747794   0.50149",36.04
AlFe10Co10SiNi10,"Full Formula (Al1 Fe10 Co10 Si1 Ni10)
Reduced Formula: AlFe10Co10SiNi10
abc   :   7.091581   7.143507   7.112570
angles:  90.198359  89.742212  90.121820
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Al     0.248243   0.748338   0.003266
  1  Si     0.745713   0.252399   0.492571
  2  Fe     0.505589   0.007221   0.003271
  3  Fe     0.502544   0.492902   0.001783
  4  Fe    -0.002756   0.007332   0.493827
  5  Fe     0.496232   0.501602   0.501003
  6  Fe     0.507064   0.751886   0.253938
  7  Fe    -0.001919   0.747103   0.747117
  8  Fe     0.248788   0.004708   0.74753
  9  Fe     0.74668    0.001812   0.748387
 10  Fe     0.752027   0.497356   0.750846
 11  Fe     0.250031   0.749502   0.497314
 12  Ni    -0.001974   0.49966    0.002586
 13  Ni    -0.000858   0.494119   0.498591
 14  Ni     0.499936   0.249698   0.254159
 15  Ni     0.501395   0.251263   0.746772
 16  Ni     0.501027   0.750321   0.751629
 17  Ni     0.250211   0.00294    0.24936
 18  Ni     0.752487   0.497358   0.251727
 19  Ni     0.247078   0.497872   0.749768
 20  Ni     0.247571   0.250419  -0.000592
 21  Ni     0.249972   0.250161   0.498237
 22  Co    -0.002882   0.002802   0.001651
 23  Co     0.498312  -0.002186   0.499454
 24  Co     0.001177   0.247334   0.244829
 25  Co    -0.007254   0.748535   0.254088
 26  Co    -0.000847   0.250891   0.74918
 27  Co     0.753091   0.003297   0.249209
 28  Co     0.251827   0.498266   0.252007
 29  Co     0.752194   0.249055   0.002879
 30  Co     0.755262   0.749464   0.003989
 31  Co     0.754039   0.746568   0.499626",45.88
Ti2Fe10Co9Cu2Ni9,"Full Formula (Ti2 Fe10 Co9 Cu2 Ni9)
Reduced Formula: Ti2Fe10Co9Cu2Ni9
abc   :   7.167370   7.182970   7.160474
angles:  89.836709  89.841421  90.082361
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Ti     0.484522   0.75688    0.265819
  1  Ti     0.753714   0.751531  -0.01723
  2  Fe     0.01091    0.008015   0.002256
  3  Fe     0.006406   0.492955  -0.002978
  4  Fe     0.007063   0.501274   0.504011
  5  Fe     0.493067   0.488098   0.506741
  6  Fe     0.747555   0.497602   0.255542
  7  Fe     0.250958   0.002046   0.742895
  8  Fe     0.75015    0.010855   0.745845
  9  Fe     0.252682   0.749651  -0.005573
 10  Fe     0.753015   0.243882   0.500162
 11  Fe     0.753193   0.754409   0.506155
 12  Ni     0.499272   0.502867  -4e-05
 13  Ni     0.497706   0.248271   0.250872
 14  Ni     0.004853   0.248632   0.748951
 15  Ni     0.005284   0.749806   0.748047
 16  Ni     0.248249   0.005914   0.253138
 17  Ni     0.750241  -0.00141    0.249894
 18  Ni     0.249687   0.494647   0.248631
 19  Ni     0.24969    0.500164   0.750804
 20  Ni     0.248263   0.248675   0.501852
 21  Co     0.492433   0.000717  -0.004626
 22  Co    -0.001217  -0.007274   0.499047
 23  Co     0.49982    0.012443   0.507653
 24  Co     0.007338   0.750642   0.250575
 25  Co     0.495409   0.251771   0.753324
 26  Co     0.494429   0.747398   0.739068
 27  Co     0.74802    0.490774   0.742444
 28  Co     0.253573   0.248945  -0.000622
 29  Co     0.244305   0.749847   0.501468
 30  Cu     0.001813   0.249644   0.25382
 31  Cu     0.747599   0.250329   0.002058",41.953
Mn2Fe10Co9Si2Ni9,"Full Formula (Mn2 Fe10 Co9 Si2 Ni9)
Reduced Formula: Mn2Fe10Co9Si2Ni9
abc   :   7.113899   7.116287   7.048915
angles:  89.980961  90.044178  90.001722
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Si     0.506347   0.505372   0.492628
  1  Si     0.245057   0.00494    0.248912
  2  Mn     0.506771   0.247975   0.745013
  3  Mn     0.743772   0.246694   0.503531
  4  Fe     0.498982  -0.001653  -0.00242
  5  Fe    -0.001745   0.500463   0.004807
  6  Fe     0.50109    0.50268    0.002699
  7  Fe    -0.00533    0.248202   0.748076
  8  Fe     0.7524    -0.001304   0.255917
  9  Fe     0.251166   0.496789   0.744059
 10  Fe     0.748537   0.249118   0.001998
 11  Fe     0.248049   0.74879    0.002261
 12  Fe     0.251882   0.250361   0.500235
 13  Fe     0.248355   0.750913   0.497012
 14  Ni     0.000938  -0.000777   0.000871
 15  Ni     0.001149   0.000595   0.500098
 16  Ni     0.498602  -0.00116    0.499923
 17  Ni    -0.003425   0.49898    0.500114
 18  Ni    -0.00043    0.249028   0.251991
 19  Ni     0.500189   0.748323   0.745609
 20  Ni     0.747474   0.50005    0.253738
 21  Ni     0.751005   0.502317   0.749484
 22  Ni     0.752265   0.751993  -0.000561
 23  Co     0.500076   0.246533   0.249997
 24  Co    -0.003764   0.747598   0.251573
 25  Co     0.500718   0.75235    0.25072
 26  Co     0.003232   0.750458   0.750425
 27  Co     0.249209   0.498341   0.254615
 28  Co     0.250576  -0.0002     0.751179
 29  Co     0.753385  -0.002798   0.747953
 30  Co     0.248352   0.254716  -0.001448
 31  Co     0.755116   0.754313   0.49899",35.742
Al5Fe4Co5(Cu2Ni7)2,"Full Formula (Al5 Fe4 Co5 Cu4 Ni14)
Reduced Formula: Al5Fe4Co5(Cu2Ni7)2
abc   :   7.157038   7.240187   7.121735
angles:  90.222063  90.073993  90.109588
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Al    -0.009674  -0.008739  -0.015411
  1  Al    -0.010562   0.509565  -0.008359
  2  Al     0.497737   0.501159   0.50134
  3  Al     0.257631  -0.004504   0.268914
  4  Al     0.265666   0.258951  -0.012052
  5  Fe     0.507232  -0.006551  -0.007166
  6  Fe    -0.007037   0.745096   0.259049
  7  Fe     0.507379   0.745678   0.247441
  8  Fe     0.74442   -0.001299   0.254919
  9  Ni    -0.000855  -0.001136   0.502197
 10  Ni     0.503452  -0.006214   0.502934
 11  Ni     0.003373   0.50185    0.502506
 12  Ni     0.495715   0.244694   0.251422
 13  Ni     0.000921   0.24867    0.756775
 14  Ni    -0.000184   0.752422   0.743256
 15  Ni     0.49705    0.751397   0.749578
 16  Ni     0.750754   0.500189   0.251359
 17  Ni     0.247035   0.504836   0.751773
 18  Ni     0.751496   0.504262   0.746454
 19  Ni     0.74699    0.24448    0.002096
 20  Ni     0.247541   0.759391   0.005157
 21  Ni     0.24971    0.749579   0.501316
 22  Ni     0.748564   0.750637   0.500996
 23  Co     0.245457   0.504767   0.250466
 24  Co     0.254402  -0.001086   0.746688
 25  Co     0.745112  -0.007887   0.747936
 26  Co     0.74367    0.755022   0.000227
 27  Co     0.242344   0.253602   0.509068
 28  Cu     0.505556   0.503101  -0.002354
 29  Cu     0.004022   0.247494   0.247103
 30  Cu     0.5083     0.249926   0.743294
 31  Cu     0.756782   0.250648   0.501079",21.926
Mn2Fe9Co9(SiNi3)3,"Full Formula (Mn2 Fe9 Co9 Si3 Ni9)
Reduced Formula: Mn2Fe9Co9(SiNi3)3
abc   :   7.038341   7.135894   7.110013
angles:  90.467871  90.215214  89.820670
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Si     0.50376    0.009676  -0.002879
  1  Si     0.495321   0.734083   0.257364
  2  Si     0.240257   0.500498   0.754645
  3  Mn     0.49761    0.246867   0.741891
  4  Mn     0.753196   0.507108   0.750432
  5  Fe     0.000215   0.246276   0.245775
  6  Fe     0.498505   0.751899   0.750956
  7  Fe     0.251149   0.004145   0.251492
  8  Fe     0.751352   0.497305   0.248177
  9  Fe     0.246803   0.004131   0.746638
 10  Fe     0.751586   0.749386   0.002435
 11  Fe     0.750202   0.247737   0.50073
 12  Fe     0.245006   0.745457   0.499074
 13  Fe     0.758133   0.752637   0.499382
 14  Ni    -0.000306   0.00087    0.00027
 15  Ni     0.496724   0.497777  -0.004601
 16  Ni     0.501385  -0.003222   0.495927
 17  Ni     0.001309   0.750393   0.250496
 18  Ni     0.000686   0.25333    0.750998
 19  Ni     0.002564   0.748695   0.751352
 20  Ni     0.742753  -0.004396   0.24342
 21  Ni     0.751822   0.000308   0.751557
 22  Ni     0.25957    0.756073   0.005892
 23  Co     0.001773   0.501162   0.004359
 24  Co     0.000478   0.00164    0.500553
 25  Co    -0.001187   0.496822   0.500359
 26  Co     0.497524   0.498854   0.506895
 27  Co     0.500927   0.253485   0.250548
 28  Co     0.245942   0.494747   0.250783
 29  Co     0.253269   0.247994  -0.000122
 30  Co     0.752451   0.256022   3.4e-05
 31  Co     0.249223   0.252239   0.495166",30.932
AlFe15Co8SiNi7,"Full Formula (Al1 Fe15 Co8 Si1 Ni7)
Reduced Formula: AlFe15Co8SiNi7
abc   :   7.977943   7.979878   5.740641
angles:  89.982169  89.992841  89.665965
pbc   :       True       True       True
Sites (32)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Al     0.251498   0.763813   0.500341
  1  Si     0.504585   0.502469   0.502981
  2  Fe    -0.001837  -0.006913  -0.005319
  3  Fe     0.501388   0.001035   0.005954
  4  Fe     0.000105  -0.00648    0.506351
  5  Fe     0.000798   0.496171   0.495801
  6  Fe     0.497882   0.256833   0.242695
  7  Fe    -0.001573   0.746548   0.24603
  8  Fe    -3e-06      0.246123   0.748799
  9  Fe     0.745444   0.001843   0.750641
 10  Fe     0.250385   0.498169   0.750106
 11  Fe     0.750872   0.497932   0.752379
 12  Fe     0.75234    0.253413   0.003216
 13  Fe     0.750345   0.747563  -0.00208
 14  Fe     0.251754   0.244249   0.500648
 15  Fe     0.749798   0.246412   0.498879
 16  Fe     0.745795   0.755094   0.500832
 17  Ni     0.004853   0.493217   0.006318
 18  Ni     0.497683   0.004012   0.493038
 19  Ni     0.001691   0.233996   0.253611
 20  Ni     0.50088    0.25593    0.743692
 21  Ni     0.243157   0.004041   0.238748
 22  Ni     0.262509   0.506169   0.272955
 23  Ni     0.7419     0.503191   0.262006
 24  Co     0.49669    0.503684  -0.009066
 25  Co     0.501358   0.747958   0.242981
 26  Co    -0.003326   0.743765   0.747376
 27  Co     0.502125   0.750102   0.747871
 28  Co     0.753948  -0.000529   0.245544
 29  Co     0.252026   0.006597   0.765061
 30  Co     0.247739   0.261618  -0.001543
 31  Co     0.247189   0.741973  -0.006844",54.801
