candidate_formula,prototype_id,substitution,w_letter,group_size,max_mismatch,status,generated_cif,n_neighbor_checks
Fe7Sn6,mp-672392,Dy->Fe,j,12,0.0978706705643266,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe7Sn6__from_mp-672392__DytoFe__radiusmatch_ok.cif,76
Co16Si2B5,mp-16085,Nd->Co,d,4,0.0964801473593348,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Co16Si2B5__from_mp-16085__NdtoCo__radiusmatch_ok.cif,40
AlFe19,mp-1211934,La->Fe,l,24,0.1371962760273175,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\AlFe19__from_mp-1211934__LatoFe__radiusmatch_ok.cif,144
Mn6AlFe13,mp-1211934,La->Mn,l,24,0.1371962760273175,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn6AlFe13__from_mp-1211934__LatoMn__radiusmatch_ok.cif,144
AlCr6Fe13,mp-1211934,La->Cr,l,24,0.1371962760273175,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\AlCr6Fe13__from_mp-1211934__LatoCr__radiusmatch_ok.cif,144
Fe19Ag,mp-1197167,Nd->Fe,l,24,0.122205469312904,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe19Ag__from_mp-1197167__NdtoFe__radiusmatch_ok.cif,144
Fe13Co6Ag,mp-1197167,Nd->Co,l,24,0.1167593808193292,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe13Co6Ag__from_mp-1197167__NdtoCo__radiusmatch_ok.cif,144
Fe13Ni6Ag,mp-1197167,Nd->Ni,l,24,0.1167593808193292,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe13Ni6Ag__from_mp-1197167__NdtoNi__radiusmatch_ok.cif,144
Mn6Fe13Ag,mp-1197167,Nd->Mn,l,24,0.122205469312904,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn6Fe13Ag__from_mp-1197167__NdtoMn__radiusmatch_ok.cif,144
Cr6Fe13Ag,mp-1197167,Nd->Cr,l,24,0.122205469312904,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr6Fe13Ag__from_mp-1197167__NdtoCr__radiusmatch_ok.cif,144
CdFe19,mp-1202421,Nd->Fe,l,24,0.1276503948492006,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\CdFe19__from_mp-1202421__NdtoFe__radiusmatch_ok.cif,144
CdFe13Co6,mp-1202421,Nd->Co,l,24,0.1192990819253978,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\CdFe13Co6__from_mp-1202421__NdtoCo__radiusmatch_ok.cif,144
CdFe13Ni6,mp-1202421,Nd->Ni,l,24,0.1192990819253978,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\CdFe13Ni6__from_mp-1202421__NdtoNi__radiusmatch_ok.cif,144
Mn6CdFe13,mp-1202421,Nd->Mn,l,24,0.1276503948492006,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn6CdFe13__from_mp-1202421__NdtoMn__radiusmatch_ok.cif,144
Cr6CdFe13,mp-1202421,Nd->Cr,l,24,0.1276503948492006,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr6CdFe13__from_mp-1202421__NdtoCr__radiusmatch_ok.cif,144
Fe19Hg,mp-1201588,Nd->Fe,l,24,0.1220942530923855,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe19Hg__from_mp-1201588__NdtoFe__radiusmatch_ok.cif,144
Fe13Co6Hg,mp-1201588,Nd->Co,l,24,0.1241038758606339,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe13Co6Hg__from_mp-1201588__NdtoCo__radiusmatch_ok.cif,144
Fe13Ni6Hg,mp-1201588,Nd->Ni,l,24,0.1241038758606339,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe13Ni6Hg__from_mp-1201588__NdtoNi__radiusmatch_ok.cif,144
Mn6Fe13Hg,mp-1201588,Nd->Mn,l,24,0.1220942530923855,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Mn6Fe13Hg__from_mp-1201588__NdtoMn__radiusmatch_ok.cif,144
Cr6Fe13Hg,mp-1201588,Nd->Cr,l,24,0.1220942530923855,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Cr6Fe13Hg__from_mp-1201588__NdtoCr__radiusmatch_ok.cif,144
Fe19Si,mp-5932,Nd->Fe,l,24,0.1225546162207856,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe19Si__from_mp-5932__NdtoFe__radiusmatch_ok.cif,144
