candidate_formula,prototype_id,substitution,w_letter,group_size,max_mismatch,status,generated_cif,n_neighbor_checks
Fe5As4,mp-1106198,Eu->Fe,g,8,0.26531694313751514,rejected_radiusmatch_high,,48
Co5As4,mp-1106198,Eu->Co,g,8,0.2906232820002653,rejected_radiusmatch_high,,48
Ni5As4,mp-1106198,Eu->Ni,g,8,0.2906232820002653,rejected_radiusmatch_high,,48
Mn5As4,mp-1106198,Eu->Mn,g,8,0.26531694313751514,rejected_radiusmatch_high,,48
Cr5As4,mp-1106198,Eu->Cr,g,8,0.26531694313751514,rejected_radiusmatch_high,,48
Fe7Sn6,mp-672392,Dy->Fe,j,12,0.09787067056432668,accepted_radiusmatch_ok,outputs/wyckoff_from_candidates_radius_mismatch_recheck\Fe7Sn6__from_mp-672392__DytoFe__radiusmatch_ok.cif,76
Fe32BC,mp-1226156,Dy->Fe,j,2,0.4536454839985857,rejected_radiusmatch_high,,36
K10Fe22F79,mp-1213565,Gd->Fe,l,32,0.5054838888191417,rejected_radiusmatch_high,,172
K10Co22F79,mp-1213565,Gd->Co,l,32,0.5461726425710103,rejected_radiusmatch_high,,172
K10Ni22F79,mp-1213565,Gd->Ni,l,32,0.5461726425710103,rejected_radiusmatch_high,,172
K10Mn22F79,mp-1213565,Gd->Mn,l,32,0.5054838888191417,rejected_radiusmatch_high,,172
K10Cr22F79,mp-1213565,Gd->Cr,l,32,0.5054838888191417,rejected_radiusmatch_high,,172
FeBr2,mp-23311,Eu->Fe,c,2,0.23399545748278439,rejected_radiusmatch_high,,16
CoBr2,mp-23311,Eu->Co,c,2,0.25867536663244,rejected_radiusmatch_high,,16
NiBr2,mp-23311,Eu->Ni,c,2,0.25867536663244,rejected_radiusmatch_high,,16
MnBr2,mp-23311,Eu->Mn,c,2,0.23399545748278439,rejected_radiusmatch_high,,16
CrBr2,mp-23311,Eu->Cr,c,2,0.23399545748278439,rejected_radiusmatch_high,,16
Fe2Au5F21,mp-557726,Gd->Fe,b,104,0.29751646473635573,rejected_radiusmatch_high,,200
Co2Au5F21,mp-557726,Gd->Co,b,104,0.3109656383061963,rejected_radiusmatch_high,,200
Ni2Au5F21,mp-557726,Gd->Ni,b,104,0.3109656383061963,rejected_radiusmatch_high,,200
Mn2Au5F21,mp-557726,Gd->Mn,b,104,0.29751646473635573,rejected_radiusmatch_high,,200
Cr2Au5F21,mp-557726,Gd->Cr,b,104,0.29751646473635573,rejected_radiusmatch_high,,200
